2026-03-29 06:07:12,069 - INFO - 开始训练流程...
2026-03-29 06:07:12,069 - INFO - 日志将保存至: /root/autodl-tmp/Master_Thesis/model_train/classifier/logs/20260329_060712_train.log
2026-03-29 06:07:12,095 - INFO - 训练集大小: 4223, 验证集大小: 600
2026-03-29 06:07:27,281 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.416, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.24497749196141477, 'hate_recall': 1.0, 'best_rel_th': 0.59, 'best_hate_th': 0.3, 'total_loss': 0.01503548494568377, 'lr': 3.598484848484849e-07}
2026-03-29 06:07:27,936 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.41935483870967744, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.2466549113162535, 'hate_recall': 1.0, 'best_rel_th': 0.59, 'best_hate_th': 0.3, 'total_loss': 0.01575672220100056, 'lr': 3.787878787878788e-07}
2026-03-29 06:07:28,593 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4098360655737705, 'hate_f1': 0.07495741056218058, 'combined_f1': 0.24239673806797554, 'hate_recall': 0.9565217391304348, 'best_rel_th': 0.59, 'best_hate_th': 0.39, 'total_loss': 0.016425217925147576, 'lr': 3.9772727272727276e-07}
2026-03-29 06:07:29,250 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4072727272727273, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.24061385559777843, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.3, 'total_loss': 0.017135118783423393, 'lr': 4.1666666666666667e-07}
2026-03-29 06:07:29,910 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.41025641025641024, 'hate_f1': 0.07407407407407407, 'combined_f1': 0.24216524216524216, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.33, 'total_loss': 0.017740314205487568, 'lr': 4.3560606060606067e-07}
2026-03-29 06:07:30,573 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.41947565543071164, 'hate_f1': 0.07407407407407407, 'combined_f1': 0.24677486475239285, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.33, 'total_loss': 0.01858937491973241, 'lr': 4.5454545454545457e-07}
2026-03-29 06:07:31,229 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.421455938697318, 'hate_f1': 0.07407407407407407, 'combined_f1': 0.24776500638569604, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.33, 'total_loss': 0.019389913332733242, 'lr': 4.7348484848484853e-07}
2026-03-29 06:07:31,881 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4235294117647059, 'hate_f1': 0.07476635514018691, 'combined_f1': 0.2491478834524464, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.55, 'total_loss': 0.020465121068286175, 'lr': 4.924242424242425e-07}
2026-03-29 06:07:32,532 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.424, 'hate_f1': 0.07476635514018691, 'combined_f1': 0.24938317757009346, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.55, 'total_loss': 0.02133375716706117, 'lr': 5.113636363636364e-07}
2026-03-29 06:07:33,185 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.411522633744856, 'hate_f1': 0.07476635514018691, 'combined_f1': 0.24314449444252145, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.55, 'total_loss': 0.022313984788276932, 'lr': 5.303030303030304e-07}
2026-03-29 06:07:33,835 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.42735042735042733, 'hate_f1': 0.0963855421686747, 'combined_f1': 0.26186798475955103, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.56, 'total_loss': 0.023214298328666977, 'lr': 5.492424242424242e-07}
2026-03-29 06:07:34,487 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4224137931034483, 'hate_f1': 0.0963855421686747, 'combined_f1': 0.2593996676360615, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.56, 'total_loss': 0.023910187749248562, 'lr': 5.681818181818182e-07}
2026-03-29 06:07:35,138 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.42105263157894735, 'hate_f1': 0.09523809523809523, 'combined_f1': 0.2581453634085213, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.024677438153461975, 'lr': 5.871212121212122e-07}
2026-03-29 06:07:35,790 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4307692307692308, 'hate_f1': 0.0963855421686747, 'combined_f1': 0.26357738646895273, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.02550774056351546, 'lr': 6.060606060606061e-07}
2026-03-29 06:07:36,440 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4280155642023346, 'hate_f1': 0.09523809523809523, 'combined_f1': 0.2616268297202149, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.026249709793112495, 'lr': 6.25e-07}
2026-03-29 06:07:37,090 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.41935483870967744, 'hate_f1': 0.09523809523809523, 'combined_f1': 0.2572964669738863, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.027030560385548706, 'lr': 6.43939393939394e-07}
2026-03-29 06:07:37,743 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4322033898305085, 'hate_f1': 0.09523809523809523, 'combined_f1': 0.2637207425343019, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.027484216021768974, 'lr': 6.628787878787879e-07}
2026-03-29 06:07:38,394 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.43103448275862066, 'hate_f1': 0.0963855421686747, 'combined_f1': 0.26371001246364767, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.028333041986281223, 'lr': 6.818181818181818e-07}
2026-03-29 06:07:39,046 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.43103448275862066, 'hate_f1': 0.0963855421686747, 'combined_f1': 0.26371001246364767, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.028993869426124023, 'lr': 7.007575757575758e-07}
2026-03-29 06:07:39,697 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4298245614035088, 'hate_f1': 0.0963855421686747, 'combined_f1': 0.2631050517860917, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.5700000000000001, 'best_hate_th': 0.56, 'total_loss': 0.029778369109738956, 'lr': 7.196969696969698e-07}
2026-03-29 06:07:40,349 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4357976653696498, 'hate_f1': 0.09523809523809523, 'combined_f1': 0.2655178803038725, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.56, 'best_hate_th': 0.56, 'total_loss': 0.030526668736428925, 'lr': 7.386363636363638e-07}
2026-03-29 06:07:41,002 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.43373493975903615, 'hate_f1': 0.09411764705882353, 'combined_f1': 0.2639262934089298, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.56, 'best_hate_th': 0.56, 'total_loss': 0.03129036555236036, 'lr': 7.575757575757576e-07}
2026-03-29 06:07:41,655 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.43983402489626555, 'hate_f1': 0.09411764705882353, 'combined_f1': 0.26697583597754454, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.56, 'best_hate_th': 0.56, 'total_loss': 0.03209416003841342, 'lr': 7.765151515151516e-07}
2026-03-29 06:07:42,307 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.43703703703703706, 'hate_f1': 0.09302325581395349, 'combined_f1': 0.26503014642549527, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.55, 'best_hate_th': 0.56, 'total_loss': 0.0329495110746586, 'lr': 7.954545454545455e-07}
2026-03-29 06:07:42,963 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4291845493562232, 'hate_f1': 0.09302325581395349, 'combined_f1': 0.2611039025850883, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.56, 'best_hate_th': 0.56, 'total_loss': 0.03372870735598333, 'lr': 8.143939393939395e-07}
2026-03-29 06:07:43,617 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4366812227074236, 'hate_f1': 0.09302325581395349, 'combined_f1': 0.26485223926068857, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.56, 'best_hate_th': 0.56, 'total_loss': 0.034327262730309456, 'lr': 8.333333333333333e-07}
2026-03-29 06:07:44,272 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4367816091954023, 'hate_f1': 0.11320754716981132, 'combined_f1': 0.2749945781826068, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.55, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.0351207536278349, 'lr': 8.522727272727273e-07}
2026-03-29 06:07:44,928 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4470588235294118, 'hate_f1': 0.10909090909090909, 'combined_f1': 0.27807486631016043, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.55, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.036012185737490654, 'lr': 8.712121212121213e-07}
2026-03-29 06:07:45,584 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4497991967871486, 'hate_f1': 0.10526315789473684, 'combined_f1': 0.2775311773409427, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.55, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.03670592148872939, 'lr': 8.901515151515153e-07}
2026-03-29 06:07:46,237 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4468864468864469, 'hate_f1': 0.10526315789473684, 'combined_f1': 0.2760748023905919, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.03720825238887108, 'lr': 9.090909090909091e-07}
2026-03-29 06:07:46,891 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.44609665427509293, 'hate_f1': 0.10526315789473684, 'combined_f1': 0.2756799060849149, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.03807831911200827, 'lr': 9.280303030303031e-07}
2026-03-29 06:07:47,547 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.449438202247191, 'hate_f1': 0.10909090909090909, 'combined_f1': 0.27926455566905006, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.03874858553436669, 'lr': 9.469696969696971e-07}
2026-03-29 06:07:48,197 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.45038167938931295, 'hate_f1': 0.10909090909090909, 'combined_f1': 0.27973629424011104, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.03961146114902063, 'lr': 9.65909090909091e-07}
2026-03-29 06:07:48,849 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4555984555984556, 'hate_f1': 0.10909090909090909, 'combined_f1': 0.28234468234468235, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.040203453013391205, 'lr': 9.84848484848485e-07}
2026-03-29 06:07:49,503 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4609375, 'hate_f1': 0.1111111111111111, 'combined_f1': 0.2860243055555556, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.04088586038260749, 'lr': 1.0037878787878788e-06}
