topic,en,jp,zh,entropy
0,0.06172839506172839,0.20987654320987653,0.7283950617283951,0.7304179744062211
1,0.13559322033898305,0.4745762711864407,0.3898305084745763,0.9918827729783493
2,1.0,0.0,0.0,0.0
3,0.06,0.06,0.88,0.4501026529399031
4,0.48936170212765956,0.425531914893617,0.0851063829787234,0.9229946254987857
5,0.09302325581395349,0.0,0.9069767441860465,0.3094772867741259
6,0.0,1.0,0.0,0.0
7,0.23684210526315788,0.02631578947368421,0.7368421052631579,0.6618822786492362
8,0.02702702702702703,0.918918918918919,0.05405405405405406,0.3330110964801871
9,0.19444444444444445,0.1111111111111111,0.6944444444444444,0.8157843798568941
10,1.0,0.0,0.0,0.0
11,0.0,0.0,1.0,0.0
12,0.0,1.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,0.1,0.1,0.8,0.639031859650177
15,0.0,1.0,0.0,0.0
16,0.18518518518518517,0.7407407407407407,0.07407407407407407,0.7273876291758027
17,0.12,0.24,0.64,0.8825632953798344
18,0.2,0.76,0.04,0.6592146182148859
19,1.0,0.0,0.0,0.0
20,0.04,0.68,0.28,0.7474359091744861
21,0.96,0.0,0.04,0.167944147734173
22,0.6666666666666666,0.041666666666666664,0.2916666666666667,0.7621042220469585
23,0.041666666666666664,0.9583333333333334,0.0,0.1732052067491771
24,0.041666666666666664,0.9583333333333334,0.0,0.1732052067491771
25,0.6666666666666666,0.041666666666666664,0.2916666666666667,0.7621042220469585
26,0.7083333333333334,0.0,0.2916666666666667,0.6036372515003262
27,0.0,0.9565217391304348,0.043478260869565216,0.17884491271684755
28,0.0,0.0,1.0,0.0
29,0.0,1.0,0.0,0.0
30,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.6001660731596457
31,1.0,0.0,0.0,0.0
32,0.047619047619047616,0.9523809523809523,0.0,0.19144408195771734
33,0.7619047619047619,0.0,0.23809523809523808,0.5488743844849944
34,0.7,0.2,0.1,0.8018185525433373
35,0.0,0.95,0.05,0.1985152433458726
36,0.05,0.0,0.95,0.1985152433458726
37,0.0,0.0,1.0,0.0
38,0.0,0.1,0.9,0.3250829733914482
39,0.3,0.05,0.65,0.7909873504355756
40,0.0,0.9473684210526315,0.05263157894736842,0.20619205063323187
41,0.15789473684210525,0.05263157894736842,0.7894736842105263,0.6330395116644678
42,0.8888888888888888,0.1111111111111111,0.0,0.34883209584303193
43,0.9444444444444444,0.0,0.05555555555555555,0.2145591551764051
44,0.0,1.0,0.0,0.0
45,0.0,1.0,0.0,0.0
46,0.2222222222222222,0.4444444444444444,0.3333333333333333,1.0608569471580214
47,0.0,0.0,1.0,0.0
48,0.0,0.0,1.0,0.0
49,0.875,0.0,0.125,0.37677016125643675
50,0.4375,0.0,0.5625,0.6853142072764582
51,0.0,0.0625,0.9375,0.2337916587064593
52,1.0,0.0,0.0,0.0
53,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.8918673953172509
54,0.0,1.0,0.0,0.0
55,0.0,1.0,0.0,0.0
56,0.7333333333333333,0.2,0.06666666666666667,0.7298712099831165
57,0.2857142857142857,0.07142857142857142,0.6428571428571429,0.8304717124362917
58,0.9285714285714286,0.0,0.07142857142857142,0.25731864054383163
59,0.14285714285714285,0.0,0.8571428571428571,0.410116318288409
60,0.0,1.0,0.0,0.0
61,0.07142857142857142,0.9285714285714286,0.0,0.25731864054383163
62,0.0,0.07142857142857142,0.9285714285714286,0.25731864054383163
63,0.21428571428571427,0.7142857142857143,0.07142857142857142,0.7589367727620595
64,0.42857142857142855,0.14285714285714285,0.42857142857142855,1.0042424730540764
65,0.15384615384615385,0.8461538461538461,0.0,0.4293230219306162
66,0.0,1.0,0.0,0.0
67,0.9230769230769231,0.07692307692307693,0.0,0.2711893730418441
68,0.0,1.0,0.0,0.0
69,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.5359610497090694
70,0.9230769230769231,0.0,0.07692307692307693,0.2711893730418441
71,1.0,0.0,0.0,0.0
72,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.7902679680745903
73,0.08333333333333333,0.75,0.16666666666666666,0.7214636866925115
74,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.5660857389596289
75,0.0,0.0,1.0,0.0
76,0.0,1.0,0.0,0.0
77,1.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0
79,0.6666666666666666,0.0,0.3333333333333333,0.6365141682948128
80,0.0,0.8181818181818182,0.18181818181818182,0.47413931305783735
81,0.0,0.0,1.0,0.0
82,0.09090909090909091,0.0,0.9090909090909091,0.30463609734923813
83,0.36363636363636365,0.2727272727272727,0.36363636363636365,1.0900596587107838
84,0.9090909090909091,0.0,0.09090909090909091,0.30463609734923813
85,0.0,1.0,0.0,0.0
86,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.7595473914748635
87,0.0,0.09090909090909091,0.9090909090909091,0.30463609734923813
88,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.6001660731596457
89,0.0,1.0,0.0,0.0
90,0.0,1.0,0.0,0.0
91,0.09090909090909091,0.9090909090909091,0.0,0.30463609734923813
92,0.8,0.2,0.0,0.5004024235381879
93,0.8,0.2,0.0,0.5004024235381879
94,1.0,0.0,0.0,0.0
95,0.1,0.9,0.0,0.3250829733914482
96,0.0,1.0,0.0,0.0
