Topic,Count,Name,Representation,Representative_Docs
0,1000,0_統一教会_てる_よ_さん,"['統一教会', 'てる', 'よ', 'さん', 'って', '年', '日本', 'だろ', '日', 'ね']","['>> 558   だって 神 ・ 鶴子 が   「 安倍 は 統一教会 と ズブズブ 」 って 言っ てる ん だ から 仕方 が ない   信者 は 信じる の が 仕事   信じ なかっ たら 落とさ れる   地獄 的 な もの が 統一教会 に も ある ん じゃ ない の ？', '>> 796   統一教会 が 「 安倍 は 統一教会 と ズブズブ 」 って 半 万 回 連呼 し て も   ネットウヨ が 統一教会 を 信じ ない の は   「 韓国 人 は うそ つき だ 」 って 偏見 が ある から だ   お前 が 統一教会 を 信じる の に も 理由 は ある よ ね ？   良かっ たら   お前 が 統一教会 の 言葉 を 信じる 理由 を 教え て くれ ない か ？', '「 安倍 さん は 統一教会 と は 関係 ない 」 って 話 だっ た けど   自民党 ズブズブ じゃ ねー か よ']"
1,1000,1_catholic_people_catholics_time,"['catholic', 'people', 'catholics', 'time', 'christ', 'women', 'trump', 'pope', 'love', 'good']","[""to you they are god's conditions. to me, they are descriptive of what a wise person would do if they were in relationship. obviously (to me, but not to those needing more, i guess), saying that god's love is unconditional does not mean that i don't need to be doing the things that make relationships work. if i do something unloving, and i believe that god is love (as john says), then it would seem to anyone but those with really bad mental health problems that i would be sorry if i spit in the face of love. of course people should have contrition, should work at relationship, should do all kinds of things--all of that still does not mean that god is limited by the cautions of the catholic church on how a person in relationship with god would act. somehow you take that to mean that i'm going to have sex with barn animals, as one old priest said in a sermon to a shocked group, but i think many people are able to separate the ideas of what people should do with who god is. you just don't."", ""i didn't pass the test for civility so the rest of my comment did not fly. i was saying that the hypocrisy behind catholic anti-abortion rhetoric is a moral failing for many catholics. i am pro-life, but have a broader understanding of what that means than to limit it to a fetus. \n          catholic votes got george bush elected and he decimated iraqui civilians waging an illegitimate was based upon fudged data, or lies, to be more correct. trump got elected with the help of the catholic vote because of his anti-abortion stance, and we can see where that got us. if there is a moral crisis, it is partly due to the behavior of catholics in america. \n         i won't let catholics off the hook-the bishops may be late for the bus, but many catholics never knew when the bus arrived. they are out to lunch, serving a bogus conception of redemption based upon obedience to moral law that has nothing to do with grace, salvation, compassion, or, in fact, christianity."", ""i believe you do not understand the standards by which the bishops measure political positions.  donald trump has said he is pro-life.  therefore, he is pro-life and pro-catholic, regardless of his current or past actions, or, for that matter, regardless of whether he actually does or doesn't oppose legal abortion.  what matters is that he is a man and he has paid service to the one issue chosen by the bishops to rally the faithful.  the bishops recognize the inherent veracity of trump because he, like them, is a man, and jesus was a man, as was his father.  it is all very clearly based upon the gospel.  we, as laity, particularly those who have the wrong set of chromosomes (you know who you are), should not worry too much about all this, we should simply follow the leaders.  it's what jesus would want us to do.  just ask your local priest.""]"
2,984,2_说_基督徒_中国_信,"['说', '基督徒', '中国', '信', '没', '新教', '里', '棍', '天主教', '传教士']","['早上 出 地铁 ， 碰到 了 两个 妈妈 年纪 的 女人 ， 站 在 我 面前 ， 对 我 说 “ 姑娘 ， 主与 我们 同 在 ” 然后 在 胸前 画 十字架 ， 我 看 她们 的 嘴型 ， 说 了 个 ” 阿 “ 我 想 配合 一下 ， 就 张口 说 了 个 ” 阿弥陀 ... “ 说 到 一半 我 发现 她们 说 的 是 ” 阿门 ... \\ "" 我 又 跑 了 ... 为 毛 我 的 一天 总是 从落 跑 开始 的 ... [ 泪 ]', '他们 的 上帝 不是 你 说 的 上帝 。', '话 说 神父 信 的 是 什么 宗教']"
3,16,3_圣母_婊_牺牲_预料到,"['圣母', '婊', '牺牲', '预料到', '拯救', '区别', '做', '同情心', '慷他人之慨', '成全']","['lz 对 圣母 这个 词 疑似 有点 误会 ， 圣母 角色 就 必须 是 极端 的 fw 和 同情心 泛滥 ， 整出 问题 自己 还 解决 不好 。 不然 他 只是 善良 ， 善良 有 什么 问题 吗 。 也 别说 啥 圣母 ， 圣母 婊 的 区别 。 你 想想 平时 会 用 圣母 这个 词夸人 吗 ， 所以 圣母 这个 词 在 文艺作品 本身 就是 非常 贬义 的 。', '有 区别 ， 但是 区别 并不大 。 \n 假如 一个 坏人 快 饿死 了 ， 圣母 把 自己 的 那份 给 了 他 ， 那 这 是 圣母 还是 圣母 婊 。 坏人 活 下来 把 其他人 都 害死 了 ， 那 给 他 吃 的 的 人 是 圣母 还是 圣母 婊 ？', '圣母 牺牲 自己 ， 圣母 婊 牺牲 别人']"
