Source,Target,Weight,Type
Jesus,Act_on: remind,1,Target-to-Tactic
Jesus,Act_on: create,1,Target-to-Tactic
Jesus,Do: feel,1,Target-to-Tactic
Church (General),Do: prove,1,Target-to-Tactic
bishops,Do: doubt,1,Target-to-Tactic
Priests/Clergy,Act_on: favor,1,Target-to-Tactic
catholic universities,Do: fair,1,Target-to-Tactic
Christianity,Is: way,1,Target-to-Tactic
people,Do: kneel,1,Target-to-Tactic
catholics,Do: question,1,Target-to-Tactic
Church (General),Act_on: rule,1,Target-to-Tactic
Priests/Clergy,Do: celebrate,1,Target-to-Tactic
Church (General),Do: take,1,Target-to-Tactic
catholics,Do: harp,1,Target-to-Tactic
catholics,Do: waste,1,Target-to-Tactic
catholics,Do: speak,1,Target-to-Tactic
homer,Act_on: scar,1,Target-to-Tactic
christians,Do: disturb,1,Target-to-Tactic
christian,Do: evolve,1,Target-to-Tactic
christians,Do: lose,1,Target-to-Tactic
Jesus,Act_on: welcome,1,Target-to-Tactic
god,Do: rest,1,Target-to-Tactic
Church (General),Act_on: serve,1,Target-to-Tactic
trump,Act_on: bring,1,Target-to-Tactic
catholics,Do: demonstrate,1,Target-to-Tactic
religion,Act_on: use,1,Target-to-Tactic
people,Do: need,1,Target-to-Tactic
catholic schools,Is: place,1,Target-to-Tactic
people,Act_on: include,1,Target-to-Tactic
catholic schools,Do: recall,1,Target-to-Tactic
catholic,Is: old,1,Target-to-Tactic
Topic 8,catholic,1,Topic-to-Target
Church (General),Do: stop,1,Target-to-Tactic
god,Do: show,1,Target-to-Tactic
god,Is: interested,1,Target-to-Tactic
man,Act_on: friggin,1,Target-to-Tactic
Church (General),Is: one,1,Target-to-Tactic
god,Do: ask,1,Target-to-Tactic
Jesus,Act_on: require,1,Target-to-Tactic
catholics,Is: unsure,1,Target-to-Tactic
catholics,Do: focus,1,Target-to-Tactic
woman,Act_on: throw,1,Target-to-Tactic
christians,Do: teach,1,Target-to-Tactic
white american male,Do: drill,1,Target-to-Tactic
Jesus,Do: stand,1,Target-to-Tactic
Priests/Clergy,Do: remember,1,Target-to-Tactic
white american male,Is: christians,1,Target-to-Tactic
christians,Do: concern,1,Target-to-Tactic
Priests/Clergy,Do: read,1,Target-to-Tactic
catholics,Do: lobby,1,Target-to-Tactic
catholics,Do: laugh,1,Target-to-Tactic
evangelicals,Do: feel,1,Target-to-Tactic
catholics,Do: suppose,1,Target-to-Tactic
catholics,Do: choke,1,Target-to-Tactic
evangelicals,Do: satiate,1,Target-to-Tactic
evangelicals,Do: hound,1,Target-to-Tactic
evangelicals,Do: seem,1,Target-to-Tactic
god,Do: provide,1,Target-to-Tactic
bishops,Do: question,1,Target-to-Tactic
catholics,Is: nice,1,Target-to-Tactic
catholics,Is: glad,1,Target-to-Tactic
christians,Do: assault,1,Target-to-Tactic
Priests/Clergy,Do: face,1,Target-to-Tactic
catholics,Do: exclude,1,Target-to-Tactic
god,Do: preserve,1,Target-to-Tactic
fundamentalist christian,Do: like,1,Target-to-Tactic
fundamentalist christian,Do: defend,1,Target-to-Tactic
Christianity,Act_on: remove,1,Target-to-Tactic
bishops,Do: proclaim,1,Target-to-Tactic
catholics,Do: identify,1,Target-to-Tactic
women,Act_on: see,1,Target-to-Tactic
catholic universities,Do: need,1,Target-to-Tactic
catholic universities,Do: get,1,Target-to-Tactic
religion,Do: do,1,Target-to-Tactic
Jesus,Do: stress,1,Target-to-Tactic
Jesus,Do: promise,1,Target-to-Tactic
Christianity,Act_on: interpret,1,Target-to-Tactic
Christianity,Do: seem,1,Target-to-Tactic
catholics,Do: attest,1,Target-to-Tactic
catholics,Do: allow,1,Target-to-Tactic
people,Act_on: regard,1,Target-to-Tactic
Christianity,Do: understand,1,Target-to-Tactic
catholics,Do: stop,1,Target-to-Tactic
Christianity,Is: friend,1,Target-to-Tactic
Church (General),Do: view,1,Target-to-Tactic
bishops,Do: support,1,Target-to-Tactic
Priests/Clergy,Act_on: salute,1,Target-to-Tactic
Priests/Clergy,Do: salute,1,Target-to-Tactic
catholics,Do: obsess,1,Target-to-Tactic
Church (General),Do: go,1,Target-to-Tactic
catholic schools,Do: fund,1,Target-to-Tactic
Jesus,Act_on: take,1,Target-to-Tactic
catholics,Is: realist,1,Target-to-Tactic
catholics,Do: try,1,Target-to-Tactic
religion,Do: go,1,Target-to-Tactic
catholic schools,Do: agree,1,Target-to-Tactic
catholics,Is: free,1,Target-to-Tactic
trump,Act_on: denounce,1,Target-to-Tactic
pharisee,Do: look,1,Target-to-Tactic
Jesus,Do: enjoy,1,Target-to-Tactic
gay people,Do: choose,1,Target-to-Tactic
women,Is: victims,1,Target-to-Tactic
Priests/Clergy,Do: shutter,1,Target-to-Tactic
Church (General),Do: leave,1,Target-to-Tactic
catholics,Do: provide,1,Target-to-Tactic
fundamentalist christian,Do: re,1,Target-to-Tactic
christians,Do: speak,1,Target-to-Tactic
popular opinion,Do: stray,1,Target-to-Tactic
Topic 15,popular opinion,1,Topic-to-Target
trump,Is: person,1,Target-to-Tactic
women,Is: fatherhood,1,Target-to-Tactic
catholics,Do: drift,1,Target-to-Tactic
catholics,Do: quote,1,Target-to-Tactic
Jesus,Do: champion,1,Target-to-Tactic
cc,Do: point,1,Target-to-Tactic
cc,Do: follow,1,Target-to-Tactic
cc,Act_on: have,1,Target-to-Tactic
cc,Do: rap,1,Target-to-Tactic
bluto,Act_on: chug,1,Target-to-Tactic
bluto,Do: take,1,Target-to-Tactic
trump,Do: manage,1,Target-to-Tactic
pharisee,Do: hope,1,Target-to-Tactic
Jesus,Is: critical,1,Target-to-Tactic
Church (General),Do: crawl,1,Target-to-Tactic
women,Do: die,1,Target-to-Tactic
Church (General),Act_on: use,1,Target-to-Tactic
Church (General),Is: wrong,1,Target-to-Tactic
that person,Do: bring,1,Target-to-Tactic
that person,Is: you,1,Target-to-Tactic
fundamentalist christian,Do: sense,1,Target-to-Tactic
fundamentalist christian,Act_on: stalk,1,Target-to-Tactic
fundamentalist christian,Do: suppose,1,Target-to-Tactic
that person,Act_on: attack,1,Target-to-Tactic
fundamentalist christian,Do: watch,1,Target-to-Tactic
catholics,Is: fine,1,Target-to-Tactic
woman,Is: more,1,Target-to-Tactic
bishops,Do: assert,1,Target-to-Tactic
Priests/Clergy,Act_on: provide,1,Target-to-Tactic
cc,Do: provide,1,Target-to-Tactic
god,Is: relationship,1,Target-to-Tactic
god,Is: fan,1,Target-to-Tactic
pharisee,Do: trust,1,Target-to-Tactic
pharisee,Do: love,1,Target-to-Tactic
god,Act_on: fear,1,Target-to-Tactic
Jesus,Do: ordain,1,Target-to-Tactic
Church (General),Do: keep,1,Target-to-Tactic
christians,Do: immigrate,1,Target-to-Tactic
women,Do: avail,1,Target-to-Tactic
catholics,Do: end,1,Target-to-Tactic
Church (General),Act_on: attend,1,Target-to-Tactic
catholics,Do: attend,1,Target-to-Tactic
Priests/Clergy,Do: cringe,1,Target-to-Tactic
catholics,Do: let,1,Target-to-Tactic
catholics,Is: life,1,Target-to-Tactic
catholics,Do: pass,1,Target-to-Tactic
Church (General),Is: happy,1,Target-to-Tactic
women,Act_on: say,1,Target-to-Tactic
women,Do: occupy,1,Target-to-Tactic
catholics,Do: ’m,1,Target-to-Tactic
catholics,Do: ignore,1,Target-to-Tactic
Jesus,Act_on: rid,1,Target-to-Tactic
bishops,Do: accuse,1,Target-to-Tactic
bishops,Do: limit,1,Target-to-Tactic
god,Do: join,1,Target-to-Tactic
god,Is: source,1,Target-to-Tactic
catholics,Do: await,1,Target-to-Tactic
catholics,Do: contaminate,1,Target-to-Tactic
catholics,Do: happen,1,Target-to-Tactic
catholic universities,Act_on: pass,1,Target-to-Tactic
christians,Is: serious,1,Target-to-Tactic
catholics,Is: older,1,Target-to-Tactic
catholics,Is: shocked,1,Target-to-Tactic
bishops,Do: list,1,Target-to-Tactic
cc,Is: infected,1,Target-to-Tactic
cc,Act_on: discredit,1,Target-to-Tactic
catholics,Do: swear,1,Target-to-Tactic
Priests/Clergy,Act_on: free,1,Target-to-Tactic
Priests/Clergy,Do: hole,1,Target-to-Tactic
bishops,Do: tempt,1,Target-to-Tactic
gay people,Do: know,1,Target-to-Tactic
trump,Act_on: see,1,Target-to-Tactic
catholics,Act_on: call,1,Target-to-Tactic
catholics,Do: call,1,Target-to-Tactic
catholics,Act_on: condescend,1,Target-to-Tactic
Priests/Clergy,Is: administrator,1,Target-to-Tactic
women,Do: do,1,Target-to-Tactic
trump,Is: extension,1,Target-to-Tactic
trump,Do: find,1,Target-to-Tactic
trump,Do: follow,1,Target-to-Tactic
Jesus,Do: get,1,Target-to-Tactic
wright,Act_on: have,1,Target-to-Tactic
wright,Do: think,1,Target-to-Tactic
wright,Do: refer,1,Target-to-Tactic
bishops,Do: quote,1,Target-to-Tactic
bishops,Do: notice,1,Target-to-Tactic
Pope,Do: do,1,Target-to-Tactic
catholics,Do: bid,1,Target-to-Tactic
people,Act_on: force,1,Target-to-Tactic
man,Do: desire,1,Target-to-Tactic
catholics,Is: bitter,1,Target-to-Tactic
Jesus,Act_on: kill,1,Target-to-Tactic
Jesus,Do: speak,1,Target-to-Tactic
catholics,Is: republican,1,Target-to-Tactic
catholics,Do: notice,1,Target-to-Tactic
Priests/Clergy,Do: exploit,1,Target-to-Tactic
christians,Do: stand,1,Target-to-Tactic
catholics,Do: abide,1,Target-to-Tactic
women,Do: gain,1,Target-to-Tactic
christians,Do: fear,1,Target-to-Tactic
christian,Act_on: reject,1,Target-to-Tactic
catholics,Act_on: describe,1,Target-to-Tactic
catholics,Is: tire,1,Target-to-Tactic
catholics,Do: assume,1,Target-to-Tactic
catholics,Act_on: insult,1,Target-to-Tactic
white american male,Do: fit,1,Target-to-Tactic
white american male,Is: clear,1,Target-to-Tactic
christians,Act_on: target,1,Target-to-Tactic
catholics,Do: confuse,1,Target-to-Tactic
catholics,Is: hostile,1,Target-to-Tactic
bishops,Act_on: castigate,1,Target-to-Tactic
bishops,Act_on: soak,1,Target-to-Tactic
Christianity,Do: believe,1,Target-to-Tactic
trump,Act_on: throw,1,Target-to-Tactic
trump,Do: insult,1,Target-to-Tactic
Church (General),Act_on: support,1,Target-to-Tactic
Priests/Clergy,Do: support,1,Target-to-Tactic
christians,Do: understand,1,Target-to-Tactic
man,Do: travel,1,Target-to-Tactic
christians,Do: condemn,1,Target-to-Tactic
white american male,Is: unfortunate,1,Target-to-Tactic
bishops,Do: wait,1,Target-to-Tactic
msw,Is: correct,1,Target-to-Tactic
catholics,Do: shake,1,Target-to-Tactic
catholics,Do: invite,1,Target-to-Tactic
woman,Do: die,1,Target-to-Tactic
woman,Do: suffer,1,Target-to-Tactic
Priests/Clergy,Do: reject,1,Target-to-Tactic
trump,Do: have,1,Target-to-Tactic
Jesus,Do: warn,1,Target-to-Tactic
women,Act_on: come,1,Target-to-Tactic
Priests/Clergy,Is: anglicans,1,Target-to-Tactic
women,Do: handle,1,Target-to-Tactic
women,Do: become,1,Target-to-Tactic
Priests/Clergy,Act_on: consider,1,Target-to-Tactic
christians,Do: agree,1,Target-to-Tactic
bishops,Is: wrong,1,Target-to-Tactic
Jesus,Do: believe,1,Target-to-Tactic
christians,Do: subscribe,1,Target-to-Tactic
bishops,Do: try,1,Target-to-Tactic
Jesus,Act_on: define,1,Target-to-Tactic
Priests/Clergy,Do: make,1,Target-to-Tactic
Priests/Clergy,Do: listen,1,Target-to-Tactic
Priests/Clergy,Do: state,1,Target-to-Tactic
Jesus,Is: willing,1,Target-to-Tactic
god,Do: expect,1,Target-to-Tactic
women,Do: see,1,Target-to-Tactic
Church (General),Do: end,1,Target-to-Tactic
bishops,Do: click,1,Target-to-Tactic
Church (General),Is: false,1,Target-to-Tactic
trump,Do: invent,1,Target-to-Tactic
Christianity,Act_on: blab,1,Target-to-Tactic
Priests/Clergy,Do: recite,1,Target-to-Tactic
women,Do: begin,1,Target-to-Tactic
Jesus,Is: human----not,1,Target-to-Tactic
bishops,Do: discover,1,Target-to-Tactic
bishops,Do: reach,1,Target-to-Tactic
bishops,Do: listen,1,Target-to-Tactic
trump,Do: read,1,Target-to-Tactic
trump,Do: give,1,Target-to-Tactic
christians,Do: consider,1,Target-to-Tactic
christians,Do: visit,1,Target-to-Tactic
catholics,Act_on: kick,1,Target-to-Tactic
Christianity,Is: 2019,1,Target-to-Tactic
people,Do: treat,1,Target-to-Tactic
christians,Do: know,1,Target-to-Tactic
Church (General),Do: commit,1,Target-to-Tactic
孔庆东,Act_on: 传回,1,Target-to-Tactic
homer,Act_on: spare,1,Target-to-Tactic
christians,Do: put,1,Target-to-Tactic
christians,Do: call,1,Target-to-Tactic
Church (General),Do: dig,1,Target-to-Tactic
white american male,Act_on: burn,1,Target-to-Tactic
孔庆东,Do: 回复,1,Target-to-Tactic
women,Do: conform,1,Target-to-Tactic
妇人,Do: 知道,1,Target-to-Tactic
catholics,Do: vow,1,Target-to-Tactic
bishops,Do: make,1,Target-to-Tactic
Church (General),Act_on: forgive,1,Target-to-Tactic
christians,Do: mean,1,Target-to-Tactic
christians,Do: stab,1,Target-to-Tactic
Church (General),Do: celebrate,1,Target-to-Tactic
Church (General),Do: shoot,1,Target-to-Tactic
trump,Do: precede,1,Target-to-Tactic
妇人,Act_on: 造出,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: ナメる,1,Target-to-Tactic
Church (General),Act_on: burn,1,Target-to-Tactic
gay people,Do: deserve,1,Target-to-Tactic
gay people,Do: listen,1,Target-to-Tactic
zsvw0cavalyy,Act_on: 返信,1,Target-to-Tactic
bishops,Do: despair,1,Target-to-Tactic
bishops,Do: shock,1,Target-to-Tactic
bishops,Is: sure,1,Target-to-Tactic
people,Do: believe,1,Target-to-Tactic
fundamentalist christian,Do: do,1,Target-to-Tactic
that person,Do: drop,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 売る,1,Target-to-Tactic
catholics,Is: person,1,Target-to-Tactic
catholics,Is: willing,1,Target-to-Tactic
trump,Act_on: hate,1,Target-to-Tactic
Church (General),Do: protect,1,Target-to-Tactic
Church (General),Do: lay,1,Target-to-Tactic
women,Do: listen,1,Target-to-Tactic
trump,Is: man,1,Target-to-Tactic
ncr,Do: prefer,1,Target-to-Tactic
ncr,Do: tell,1,Target-to-Tactic
Church (General),Do: preserve,1,Target-to-Tactic
Church (General),Act_on: recognize,1,Target-to-Tactic
Church (General),Do: recognize,1,Target-to-Tactic
christians,Do: come,1,Target-to-Tactic
women,Act_on: give,1,Target-to-Tactic
women,Act_on: get,1,Target-to-Tactic
Priests/Clergy,Do: ask,1,Target-to-Tactic
自民党,Do: 崇める,1,Target-to-Tactic
tax collector,Do: ask,1,Target-to-Tactic
Church (General),Act_on: 发,1,Target-to-Tactic
pharisee,Do: explain,1,Target-to-Tactic
pharisee,Is: happy,1,Target-to-Tactic
法官,Do: 问,1,Target-to-Tactic
women,Do: hold,1,Target-to-Tactic
妇人,Do: 回答,1,Target-to-Tactic
women,Do: feel,1,Target-to-Tactic
women,Do: know,1,Target-to-Tactic
Church (General),Is: fair,1,Target-to-Tactic
Topic 9,封建迷信,1,Topic-to-Target
god,Is: male,1,Target-to-Tactic
women,Act_on: ban,1,Target-to-Tactic
Priests/Clergy,Do: fear,1,Target-to-Tactic
catholics,Do: answer,1,Target-to-Tactic
trump,Is: antichrist,1,Target-to-Tactic
bishops,Do: dance,1,Target-to-Tactic
自民党,Do: なる,1,Target-to-Tactic
Jesus,Act_on: reference,1,Target-to-Tactic
christians,Do: appreciate,1,Target-to-Tactic
god,Act_on: worship,1,Target-to-Tactic
trump,Is: horrible,1,Target-to-Tactic
catholics,Is: round,1,Target-to-Tactic
Church (General),Do: learn,1,Target-to-Tactic
catholics,Do: come,1,Target-to-Tactic
catholics,Do: disagree,1,Target-to-Tactic
日本会議,Act_on: ひく,1,Target-to-Tactic
catholics,Do: raise,1,Target-to-Tactic
christians,Do: guarantee,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: つるむ,1,Target-to-Tactic
christians,Is: white,1,Target-to-Tactic
christians,Do: see,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 囲む,1,Target-to-Tactic
trudeau,Is: feminist,1,Target-to-Tactic
trudeau,Is: -,1,Target-to-Tactic
trudeau,Is: post,1,Target-to-Tactic
woman,Do: want,1,Target-to-Tactic
woman,Act_on: know,1,Target-to-Tactic
woman,Do: do,1,Target-to-Tactic
catholics,Is: disgusted,1,Target-to-Tactic
Church (General),Do: seem,1,Target-to-Tactic
pharisee,Do: see,1,Target-to-Tactic
Jesus,Do: set,1,Target-to-Tactic
Church (General),Do: face,1,Target-to-Tactic
bishops,Do: add,1,Target-to-Tactic
catholics,Is: nastier,1,Target-to-Tactic
trump,Is: child,1,Target-to-Tactic
trudeau,Act_on: thank,1,Target-to-Tactic
harper,Act_on: support,1,Target-to-Tactic
Topic 16,harper,1,Topic-to-Target
Christianity,Do: participate,1,Target-to-Tactic
people,Do: stand,1,Target-to-Tactic
Christianity,Is: time,1,Target-to-Tactic
日本会議,Do: 洗脳,1,Target-to-Tactic
god,Do: view,1,Target-to-Tactic
catholics,Is: apologist,1,Target-to-Tactic
Jesus,Do: crucify,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 決定,1,Target-to-Tactic
christians,Do: suspect,1,Target-to-Tactic
bishops,Do: pray,1,Target-to-Tactic
catholics,Do: march,1,Target-to-Tactic
Church (General),Do: hold,1,Target-to-Tactic
Church (General),Act_on: vilify,1,Target-to-Tactic
catholic schools,Do: see,1,Target-to-Tactic
religion,Act_on: keep,1,Target-to-Tactic
religion,Act_on: get,1,Target-to-Tactic
trump,Is: bigot,1,Target-to-Tactic
trump,Act_on: endorse,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 寄せる,1,Target-to-Tactic
catholics,Do: start,1,Target-to-Tactic
catholics,Do: quit,1,Target-to-Tactic
cc,Act_on: sidestep,1,Target-to-Tactic
Church (General),Do: fight,1,Target-to-Tactic
Priests/Clergy,Act_on: forgive,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 指定,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: する,1,Target-to-Tactic
catholics,Do: practice,1,Target-to-Tactic
日本会議,Do: 言う,1,Target-to-Tactic
homer,Act_on: force,1,Target-to-Tactic
homer,Do: appeal,1,Target-to-Tactic
Church (General),Do: help,1,Target-to-Tactic
catholics,Do: enjoy,1,Target-to-Tactic
christians,Do: tell,1,Target-to-Tactic
christians,Do: get,1,Target-to-Tactic
ncr,Do: use,1,Target-to-Tactic
Priests/Clergy,Act_on: put,1,Target-to-Tactic
pharisee,Is: sure,1,Target-to-Tactic
catholic schools,Is: height,1,Target-to-Tactic
catholic schools,Do: run,1,Target-to-Tactic
catholic universities,Do: design,1,Target-to-Tactic
bishops,Do: die,1,Target-to-Tactic
christians,Do: refer,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 加担,1,Target-to-Tactic
Christianity,Is: anonymous,1,Target-to-Tactic
gay people,Is: interested,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 送る,1,Target-to-Tactic
gay people,Do: say,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 捨てる,1,Target-to-Tactic
catholic schools,Act_on: shut,1,Target-to-Tactic
Church (General),Act_on: hate,1,Target-to-Tactic
trump,Do: do,1,Target-to-Tactic
Priests/Clergy,Do: provide,1,Target-to-Tactic
catholics,Do: disobey,1,Target-to-Tactic
authentic catholics,Do: demand,1,Target-to-Tactic
catholics,Do: deny,1,Target-to-Tactic
Church (General),Is: sorry,1,Target-to-Tactic
trudeau,Act_on: critisize,1,Target-to-Tactic
catholic schools,Do: doubt,1,Target-to-Tactic
catholic schools,Do: suspect,1,Target-to-Tactic
people,Act_on: have,1,Target-to-Tactic
gay people,Act_on: regard,1,Target-to-Tactic
bishops,Do: understand,1,Target-to-Tactic
catholics,Do: imagine,1,Target-to-Tactic
catholics,Is: furious,1,Target-to-Tactic
catholics,Is: scared,1,Target-to-Tactic
trump,Act_on: normalize,1,Target-to-Tactic
Topic 4,法官,1,Topic-to-Target
Priests/Clergy,Do: guide,1,Target-to-Tactic
Jesus,Act_on: bring,1,Target-to-Tactic
Priests/Clergy,Is: men,1,Target-to-Tactic
women,Act_on: allow,1,Target-to-Tactic
pharisee,Do: say,1,Target-to-Tactic
catholics,Is: tired,1,Target-to-Tactic
Jesus,Do: fix,1,Target-to-Tactic
Church (General),Act_on: skew,1,Target-to-Tactic
white american male,Is: guy,1,Target-to-Tactic
catholic universities,Is: responsibility,1,Target-to-Tactic
bishops,Do: fault,1,Target-to-Tactic
Church (General),Do: find,1,Target-to-Tactic
Jesus,Is: speaker,1,Target-to-Tactic
Church (General),Do: adapt,1,Target-to-Tactic
white american male,Is: interesting,1,Target-to-Tactic
christians,Do: shoot,1,Target-to-Tactic
Jesus,Do: incarnate,1,Target-to-Tactic
god,Act_on: define,1,Target-to-Tactic
women,Act_on: support,1,Target-to-Tactic
women,Is: missionaries,1,Target-to-Tactic
Jesus,Act_on: abandon,1,Target-to-Tactic
Church (General),Do: solve,1,Target-to-Tactic
people,Act_on: prevent,1,Target-to-Tactic
Church (General),Do: stand,1,Target-to-Tactic
Church (General),Is: patriarchal,1,Target-to-Tactic
women,Do: come,1,Target-to-Tactic
god,Act_on: believe,1,Target-to-Tactic
man,Act_on: read,1,Target-to-Tactic
pharisee,Do: answer,1,Target-to-Tactic
Priests/Clergy,Is: willing,1,Target-to-Tactic
Church (General),Act_on: carry,1,Target-to-Tactic
women,Do: carry,1,Target-to-Tactic
women,Do: leave,1,Target-to-Tactic
women,Act_on: shut,1,Target-to-Tactic
Church (General),Do: wait,1,Target-to-Tactic
god,Act_on: bend,1,Target-to-Tactic
Church (General),Do: dictate,1,Target-to-Tactic
women,Is: different,1,Target-to-Tactic
catholic,Act_on: view,1,Target-to-Tactic
Topic 15,catholic,1,Topic-to-Target
catholics,Do: remain,1,Target-to-Tactic
christians,Is: shameful,1,Target-to-Tactic
Priests/Clergy,Do: act,1,Target-to-Tactic
god,Is: constant,1,Target-to-Tactic
Priests/Clergy,Act_on: pay,1,Target-to-Tactic
Priests/Clergy,Act_on: interview,1,Target-to-Tactic
gay people,Is: gay,1,Target-to-Tactic
tax collector,Do: put,1,Target-to-Tactic
Priests/Clergy,Is: grounded,1,Target-to-Tactic
bishops,Do: argue,1,Target-to-Tactic
trump,Act_on: support,1,Target-to-Tactic
Priests/Clergy,Do: advocate,1,Target-to-Tactic
trump,Act_on: give,1,Target-to-Tactic
trump,Is: jesus,1,Target-to-Tactic
fundamentalist christian,Do: post,1,Target-to-Tactic
that person,Is: choice,1,Target-to-Tactic
fundamentalist christian,Do: claim,1,Target-to-Tactic
fundamentalist christian,Do: disagree,1,Target-to-Tactic
Christianity,Act_on: point,1,Target-to-Tactic
fundamentalist christian,Is: sorry,1,Target-to-Tactic
that person,Do: offend,1,Target-to-Tactic
fundamentalist christian,Act_on: hurt,1,Target-to-Tactic
Church (General),Do: begin,1,Target-to-Tactic
that person,Act_on: get,1,Target-to-Tactic
fundamentalist christian,Is: two,1,Target-to-Tactic
fundamentalist christian,Act_on: call,1,Target-to-Tactic
fundamentalist christian,Do: state,1,Target-to-Tactic
women,Act_on: shoot,1,Target-to-Tactic
women,Is: subject,1,Target-to-Tactic
man,Is: subject,1,Target-to-Tactic
catholics,Do: receive,1,Target-to-Tactic
Priests/Clergy,Is: clueless,1,Target-to-Tactic
catholic universities,Is: all,1,Target-to-Tactic
people,Do: want,1,Target-to-Tactic
catholic schools,Act_on: attend,1,Target-to-Tactic
catholics,Do: refer,1,Target-to-Tactic
trump,Do: humiliate,1,Target-to-Tactic
bishops,Is: clueless,1,Target-to-Tactic
bishops,Act_on: use,1,Target-to-Tactic
bishops,Do: continue,1,Target-to-Tactic
Priests/Clergy,Is: homilists,1,Target-to-Tactic
Church (General),Is: agency,1,Target-to-Tactic
catholics,Do: forget,1,Target-to-Tactic
catholics,Do: exercise,1,Target-to-Tactic
Priests/Clergy,Do: accept,1,Target-to-Tactic
Priests/Clergy,Act_on: harm,1,Target-to-Tactic
Topic 18,Priests/Clergy,1,Topic-to-Target
catholics,Do: worry,1,Target-to-Tactic
catholics,Is: protestants,1,Target-to-Tactic
catholics,Is: what,1,Target-to-Tactic
white american male,Is: reply,1,Target-to-Tactic
bishops,Do: preach,1,Target-to-Tactic
bishops,Do: presume,1,Target-to-Tactic
white american male,Is: war,1,Target-to-Tactic
Church (General),Do: allow,1,Target-to-Tactic
christians,Do: go,1,Target-to-Tactic
white american male,Act_on: describe,1,Target-to-Tactic
christians,Do: guess,1,Target-to-Tactic
evangelicals,Act_on: reveal,1,Target-to-Tactic
man,Is: greater,1,Target-to-Tactic
women,Do: beat,1,Target-to-Tactic
Church (General),Act_on: intend,1,Target-to-Tactic
Jesus,Do: intend,1,Target-to-Tactic
christians,Do: express,1,Target-to-Tactic
christians,Is: veteran,1,Target-to-Tactic
christians,Is: conservative,1,Target-to-Tactic
tax collector,Do: go,1,Target-to-Tactic
Jesus,Is: liar,1,Target-to-Tactic
pharisee,Do: thank,1,Target-to-Tactic
tax collector,Is: humble,1,Target-to-Tactic
pharisee,Act_on: rebuke,1,Target-to-Tactic
Jesus,Do: rebuke,1,Target-to-Tactic
catholic schools,Do: want,1,Target-to-Tactic
Priests/Clergy,Do: talk,1,Target-to-Tactic
Priests/Clergy,Is: god,1,Target-to-Tactic
catholics,Do: figure,1,Target-to-Tactic
Priests/Clergy,Is: consumer,1,Target-to-Tactic
women,Act_on: point,1,Target-to-Tactic
Priests/Clergy,Is: unaware,1,Target-to-Tactic
Church (General),Do: show,1,Target-to-Tactic
women,Do: need,1,Target-to-Tactic
catholics,Do: dare,1,Target-to-Tactic
Jesus,Act_on: crucify,1,Target-to-Tactic
catholics,Do: challenge,1,Target-to-Tactic
Church (General),Do: ammnede,1,Target-to-Tactic
Church (General),Do: declare,1,Target-to-Tactic
catholic universities,Is: whatever,1,Target-to-Tactic
Christianity,Do: address,1,Target-to-Tactic
Church (General),Do: get,1,Target-to-Tactic
Christianity,Do: say,1,Target-to-Tactic
christians,Do: forget,1,Target-to-Tactic
christians,Is: sorry,1,Target-to-Tactic
Christianity,Is: absurd,1,Target-to-Tactic
Jesus,Do: rise,1,Target-to-Tactic
Unification Church,Do: have,1,Target-to-Tactic
Priests/Clergy,Do: boyz,1,Target-to-Tactic
god,Do: judge,1,Target-to-Tactic
god,Do: hat,1,Target-to-Tactic
Jesus,Is: savior,1,Target-to-Tactic
Church (General),Is: strapped,1,Target-to-Tactic
Jesus,Act_on: get,1,Target-to-Tactic
Church (General),Do: choke,1,Target-to-Tactic
women,Do: create,1,Target-to-Tactic
women,Act_on: seduce,1,Target-to-Tactic
women,Do: seduce,1,Target-to-Tactic
women,Is: inferior,1,Target-to-Tactic
women,Do: shackle,1,Target-to-Tactic
catholics,Do: learn,1,Target-to-Tactic
catholics,Do: post,1,Target-to-Tactic
trump,Act_on: back,1,Target-to-Tactic
Church (General),Do: discriminate,1,Target-to-Tactic
white american male,Do: take,1,Target-to-Tactic
Jesus,Do: command,1,Target-to-Tactic
white american male,Do: make,1,Target-to-Tactic
catholics,Do: check,1,Target-to-Tactic
Jesus,Do: shun,1,Target-to-Tactic
Jesus,Do: break,1,Target-to-Tactic
bishops,Do: endorse,1,Target-to-Tactic
bishops,Do: call,1,Target-to-Tactic
bishops,Do: visit,1,Target-to-Tactic
trudeau,Do: set,1,Target-to-Tactic
bishops,Do: blame,1,Target-to-Tactic
Priests/Clergy,Act_on: elevate,1,Target-to-Tactic
christians,Do: feel,1,Target-to-Tactic
white american male,Is: correct,1,Target-to-Tactic
catholics,Do: appear,1,Target-to-Tactic
