lang,topic,n_docs,bias_harm,z_harm,bias_fairness,z_fairness,bias_loyalty,z_loyalty,bias_authority,z_authority,bias_sanctity,z_sanctity,bias_realistic_threat,z_realistic_threat,bias_symbolic_threat,z_symbolic_threat,topic_label,topic_short,row_label,dominant_negative_axis,dominant_negative_z,dominant_negative_axis_label,dominant_negative_raw_bias,pc1,pc2
en,37,1,-0.084951,-0.46948497698512287,-0.075272,-0.5296994405251376,-0.060036,-0.3486373577447903,-0.121645,-1.5215144741783497,-0.059572,0.22013064573824476,0.015232,-0.10117003743078537,-0.033629,-0.6719279161215458,Religious Beliefs and Social Phenomena,Religious Beliefs and Social…,EN · T37 · Religious Beliefs and Social…,authority,-1.5215144741783497,Authority,-0.121645,,
en,40,2,-0.054170499999999996,0.8429283829175412,-0.0548975,0.3414439423761108,-0.0428775,0.26552964673551754,-0.0771535,0.15955141942803436,-0.06382550000000001,0.061710264148307714,-0.00436,-0.9097261671278231,-0.0584975,-1.5162485008029705,Critique of Money and Religious Manipulation,Critique of Money and Religi…,EN · T40 · Critique of Money and Religi…,symbolic_threat,-1.5162485008029705,Symbolic Threat,-0.0584975,,
en,43,1,-0.089284,-0.6542346427949131,-0.095048,-1.3752530266379293,-0.061736,-0.4094867273060296,-0.089691,-0.31416521500978073,-0.097905,-1.2075708912282668,0.019297,0.0665913277804467,-0.03727,-0.7955449918931068,Missionaries and Confucianism,Missionaries and Confucianis…,EN · T43 · Missionaries and Confucianis…,fairness,-1.3752530266379293,Fairness,-0.095048,,
en,0,2,-0.0639715,0.4250351277590476,-0.049615000000000006,0.5673054319918482,-0.056993,-0.2397169862301722,-0.055542499999999995,0.9761009856761393,-0.039379,0.9722131108718051,-0.014851,-1.3426866794109804,-0.027701499999999997,-0.4706809464330184,Separation of Church & State / Japan,Separation of Church & State…,EN · T0 · Separation of Church & State…,realistic_threat,-1.3426866794109804,Realistic Threat,-0.014851,,
en,39,7,-0.1021912857142857,-1.204573143193197,-0.08047271428571427,-0.7520640549382512,-0.07322714285714285,-0.8207977851856062,-0.09946971428571429,-0.6836439484540519,-0.08832985714285714,-0.8509474551857767,-0.0041270000000000005,-0.9001103250382246,-0.04750571428571428,-1.143061901652292,Religious Controversies and Social Critiques,Religious Controversies and …,EN · T39 · Religious Controversies and …,harm,-1.204573143193197,Harm,-0.1021912857142857,-2.2685596303543427,-0.7402411318443146
en,46,13,-0.08888392307692308,-0.6371762357243682,-0.08415346153846154,-0.9094401188103816,-0.07398515384615384,-0.8479298385984357,-0.09907976923076924,-0.6689102727576018,-0.08418923076923077,-0.6967310192785832,0.002237538461538462,-0.6374476777449686,-0.047687230769230766,-1.1492246418051744,Religious Beliefs and Social Controversies,Religious Beliefs and Social…,EN · T46 · Religious Beliefs and Social…,symbolic_threat,-1.1492246418051744,Symbolic Threat,-0.047687230769230766,-1.988420987870011,-0.7415865870844583
en,11,39,-0.09925541025641026,-1.079393819467913,-0.0740776923076923,-0.4786349607439448,-0.06890679487179488,-0.666156343307021,-0.09828235897435898,-0.6387809405196868,-0.07676984615384616,-0.4203981776348218,0.012983897435897437,-0.19394857501718576,-0.02500528205128205,-0.3791405513593272,2017 Pakistan Religious Violence,2017 Pakistan Religious Viol…,EN · T11 · 2017 Pakistan Religious Viol…,harm,-1.079393819467913,Harm,-0.09925541025641026,-1.5252433145265247,0.0982676162594046
en,45,5,-0.09851560000000001,-1.0478499243295676,-0.07676,-0.5933211909365366,-0.057081799999999995,-0.2428954709460768,-0.0865962,-0.19723135736207165,-0.09237680000000001,-1.001674675522262,0.0352744,0.7259739689922398,-0.0277598,-0.4726603135073063,Life and Responsibility,Life and Responsibility,EN · T45 · Life and Responsibility,harm,-1.0478499243295676,Harm,-0.09851560000000001,-1.3306945123580587,0.7175441516896919
en,17,12,-0.09658741666666666,-0.965636394107241,-0.08120491666666667,-0.7833705046234561,-0.07297858333333333,-0.8119009085254584,-0.10601591666666667,-0.9309855205580256,-0.08559108333333333,-0.7489426139977463,0.0167745,-0.037511512009303145,-0.02611983333333333,-0.4169811364416189,Pagan-Christian Conflicts,Pagan-Christian Conflicts,EN · T17 · Pagan-Christian Conflicts,harm,-0.965636394107241,Harm,-0.09658741666666666,-1.9029413473450207,0.25321008848990184
en,25,20,-0.08610405,-0.5186485131406684,-0.07934189999999999,-0.7037143343419078,-0.05972545,-0.33752160967582395,-0.09837735,-0.6423700794204614,-0.090505,-0.931960023997625,0.0021372,-0.6415886168079173,-0.0036552999999999993,0.3457213956208437,Social Division and Racial Antagonism,Social Division and Racial A…,EN · T25 · Social Division and Racial A…,sanctity,-0.931960023997625,Sanctity,-0.090505,-1.251511339006393,0.12521025850469183
en,9,13,-0.09443661538461538,-0.8739309202825833,-0.08104884615384617,-0.7766974675177802,-0.06760738461538461,-0.6196455815988019,-0.09733715384615384,-0.6030673299763808,-0.06532238461538462,0.005959228068529514,0.026709,0.37248240747187383,-0.014660923076923078,-0.027935001471504926,Divine-Human Nature / Jesus,Divine-Human Nature / Jesus,EN · T9 · Divine-Human Nature / Jesus,harm,-0.8739309202825833,Harm,-0.09443661538461538,-1.1708890923470907,0.6250816189543726
en,42,1,-0.078034,-0.1745591892153752,-0.074988,-0.5175565795595207,-0.056344,-0.216486844556499,-0.097919,-0.6250517927289704,-0.056977,0.31678067282790895,0.029745,0.4977772425964251,-0.038076,-0.8229098265736556,Faith and Heresy Debates,Faith and Heresy Debates,EN · T42 · Faith and Heresy Debates,symbolic_threat,-0.8229098265736556,Symbolic Threat,-0.038076,,
en,20,4,-0.07780175,-0.1646565559625885,-0.08052424999999999,-0.7542675444218259,-0.06224025,-0.4275357241302972,-0.095099,-0.5185009724606043,-0.08598025,-0.7634370143352134,0.012629999999999999,-0.20855381904938955,-0.021725,-0.26777035776267105,Nuns and Religious Culture,Nuns and Religious Culture,EN · T20 · Nuns and Religious Culture,sanctity,-0.7634370143352134,Sanctity,-0.08598025,,
en,38,2,-0.08572850000000001,-0.5026358805547313,-0.061726500000000004,0.04945944401626759,-0.040016,0.3679534532058033,-0.08021900000000001,0.043724632359709414,-0.060579499999999994,0.1826065986119109,-0.0006864999999999998,-0.7581218928096285,-0.029678,-0.5377859039343892,Opposition and Impact of Religious Beliefs,Opposition and Impact of Rel…,EN · T38 · Opposition and Impact of Rel…,realistic_threat,-0.7581218928096285,Realistic Threat,-0.0006864999999999998,,
en,4,11,-0.09057236363636363,-0.709167657163634,-0.07543327272727272,-0.5365949063871743,-0.05994727272727273,-0.3454614762104711,-0.08884936363636363,-0.28236484447320626,-0.08090109090909091,-0.5742651978692876,0.004589545454545455,-0.540381034661766,-0.028456363636363634,-0.4963096295787366,"Religion, Sexuality, and Violence","Religion, Sexuality, and Vio…","EN · T4 · Religion, Sexuality, and Vio…",harm,-0.709167657163634,Harm,-0.09057236363636363,-1.2291291908415092,-0.347884545523182
