axis,axis_label,axis_desc,F_stat,p_value,eta_squared,significant,mean_en,std_en,n_en,mean_zh,std_zh,n_zh,mean_jp,std_jp,n_jp,tukey_en_zh_p,tukey_en_jp_p,tukey_zh_jp_p
harm,Harm,Care(+) vs. Harm(−),32068.2715,0.0,0.9492,***,-0.07394,0.02345,1120,0.17654,0.02101,1074,0.06904,0.02488,1241,0.0,0.0,0.0
fairness,Fairness,Fairness(+) vs. Cheating(−),35568.1953,0.0,0.954,***,-0.06288,0.02339,1120,0.18169,0.01854,1074,0.08479,0.02253,1241,0.0,0.0,0.0
loyalty,Loyalty,Loyalty(+) vs. Betrayal(−),10807.876,0.0,0.863,***,-0.0503,0.02794,1120,0.10803,0.02327,1074,0.02371,0.02422,1241,0.0,0.0,0.0
authority,Authority,Authority(+) vs. Subversion(−),17686.5039,0.0,0.9116,***,-0.08138,0.02647,1120,0.11731,0.02337,1074,0.03384,0.02464,1241,0.0,0.0,0.0
sanctity,Sanctity,Sanctity(+) vs. Degradation(−),25365.8184,0.0,0.9366,***,-0.06548,0.02685,1120,0.16809,0.0223,1074,0.077,0.02416,1241,0.0,0.0,0.0
realistic_threat,Realistic Threat,Safety(+) vs. Realistic Threat(−),840.1544,0.0,0.3287,***,0.01768,0.02423,1120,-0.01227,0.02071,1074,-0.01844,0.02257,1241,0.0,0.0,0.0
symbolic_threat,Symbolic Threat,Cultural Cohesion(+) vs. Symbolic Threat(−),543.8624,0.0,0.2407,***,-0.01384,0.02945,1120,-0.04687,0.02557,1074,-0.04541,0.02549,1241,0.0,0.0,0.170389
